Address,City,Latitude,Longitude,content
"959	GOODFELLOW BV D	","Saint Louis Mo,"," 	38.660332",-90.285916,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5738	TERRY AVE	","Saint Louis Mo,"," 	38.677664",-90.27389,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5356	PAGE BLVD	","Saint Louis Mo,"," 	38.661501",-90.273372,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5826	ROOSEVELT PL	","Saint Louis Mo,"," 	38.679405",-90.275625,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3859	OHIO AVE	","Saint Louis Mo,"," 	38.585361",-90.229518,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4100	SAINT LOUIS AVE	","Saint Louis Mo,"," 	38.651644",-90.196495,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2418	N EUCLID AVE	","Saint Louis Mo,"," 	38.666141",-90.255522,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4422	VISTA AVE	","Saint Louis Mo,"," 	38.623763",-90.259759,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"601	MARKET ST	","Saint Louis Mo,"," 	38.625858",-90.191241,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4428	VISTA AVE	","Saint Louis Mo,"," 	38.623738",-90.259935,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5726	WATERMAN BLVD	","Saint Louis Mo,"," 	38.64989",-90.286269,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4448	FARLIN AVE	","Saint Louis Mo,"," 	38.673198",-90.235796,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4462	CLARENCE AVE	","Saint Louis Mo,"," 	38.677854",-90.228024,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3724	MINNESOTA AVE	","Saint Louis Mo,"," 	38.588524",-90.235679,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4990	CHILDRENS PL	","Saint Louis Mo,"," 	38.63724",-90.265583,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4947	ALCOTT AVE	","Saint Louis Mo,"," 	38.692174",-90.252314,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4240	ENRIGHT AVE	","Saint Louis Mo,"," 	38.648032",-90.245847,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5232	LOUISIANA AVE	","Saint Louis Mo,"," 	38.570113",-90.249826,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3933	LABADIE AVE	","Saint Louis Mo,"," 	38.659483",-90.226776,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2500	CORA AVE	","Saint Louis Mo,"," 	38.663426",-90.248801,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1635	WASHINGTON AVE	","Saint Louis Mo,"," 	38.633404",-90.203174,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5096	MINERVA AVE	","Saint Louis Mo,"," 	38.661253",-90.265787,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5	CARR ST	","Saint Louis Mo,"," 	38.63408",-90.182228,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1027	S VANDEVENTER AVE	","Saint Louis Mo,"," 	38.627548",-90.248851,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1027	S VANDEVENTER AVE	","Saint Louis Mo,"," 	38.627548",-90.248851,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5673	ASHLAND AVE	","Saint Louis Mo,"," 	38.681347",-90.269878,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1515	HAMPTON AVE	","Saint Louis Mo,"," 	38.624595",-90.288155,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1515	HAMPTON AVE	","Saint Louis Mo,"," 	38.624595",-90.288155,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5353	WELLS AVE	","Saint Louis Mo,"," 	38.665404",-90.270189,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3927	N 22ND ST	","Saint Louis Mo,"," 	38.661547",-90.207528,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5402	ARLINGTON AVE	","Saint Louis Mo,"," 	38.694895",-90.243008,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3051	THOMAS ST	","Saint Louis Mo,"," 	38.643822",-90.22119,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1199	RIVERVIEW BLVD	","Saint Louis Mo,"," 	38.694601",-90.261454,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1199	RIVERVIEW BLVD	","Saint Louis Mo,"," 	38.694601",-90.261454,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1120	HOWARD ST	","Saint Louis Mo,"," 	38.642983",-90.191303,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1120	HOWARD ST	","Saint Louis Mo,"," 	38.642983",-90.191303,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4246	GANO AVE	","Saint Louis Mo,"," 	38.668617",-90.215135,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4246	GANO AVE	","Saint Louis Mo,"," 	38.668617",-90.215135,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4145	N GRAND BLVD	","Saint Louis Mo,"," 	38.66624",-90.213446,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3507	DODIER ST	","Saint Louis Mo,"," 	38.656532",-90.219325,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5546	RIVERVIEW BLVD	","Saint Louis Mo,"," 	38.705346",-90.250798,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5727	ERA AVE	","Saint Louis Mo,"," 	38.710251",-90.254788,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1923	PRAIRIE AVE	","Saint Louis Mo,"," 	38.652207",-90.22797,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4744	NORTHLAND AVE	","Saint Louis Mo,"," 	38.666302",-90.250633,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2329	ANN AVE	","Saint Louis Mo,"," 	38.609913",-90.221131,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
