Number,Street,Address,City,latitude,longitude
5071,DAVISON AVE,5071 DAVISON AVE,"Saint Louis MO,",38.694407,-90.250237
1245,GIMBLIN ST,1245 GIMBLIN ST,"Saint Louis MO,",38.713869,-90.236441
1141,FERRY ST,1141 FERRY ST,"Saint Louis MO,",38.66845,-90.202257
5725,VIRGINIA AVE,5725 VIRGINIA AVE,"Saint Louis MO,",38.563402,-90.247857
5725,VIRGINIA AVE,5725 VIRGINIA AVE,"Saint Louis MO,",38.563402,-90.247857
3909,CLEVELAND AVE,3909 CLEVELAND AVE,"Saint Louis MO,",38.611261,-90.248305
3804,GRAVOIS AVE,3804 GRAVOIS AVE,"Saint Louis MO,",38.591542,-90.249438
3544,GILES AVE,3544 GILES AVE,"Saint Louis MO,",38.593078,-90.246222
3250,MICHIGAN AVE,3250 MICHIGAN AVE,"Saint Louis MO,",38.597175,-90.235052
5938,PLYMOUTH AVE,5938 PLYMOUTH AVE,"Saint Louis MO,",38.666243,-90.289449
4208,E COOK AVE,4208 E COOK AVE,"Saint Louis MO,",38.650555,-90.241303
4500,S COMPTON AVE,4500 S COMPTON AVE,"Saint Louis MO,",38.574881,-90.240861
5634,MAFFITT AVE,5634 MAFFITT AVE,"Saint Louis MO,",38.676013,-90.27237
3833,INDIANA AVE,3833 INDIANA AVE,"Saint Louis MO,",38.585252,-90.225981
5979,SUMMIT PL,5979 SUMMIT PL,"Saint Louis MO,",38.712647,-90.247663
4938,NATURAL BRIDGE AVE,4938 NATURAL BRIDGE AVE,"Saint Louis MO,",38.675359,-90.249775
4434,GREER AVE,4434 GREER AVE,"Saint Louis MO,",38.666464,-90.240489
5729,MIMIKA AVE,5729 MIMIKA AVE,"Saint Louis MO,",38.709784,-90.253908
1820,BELLE GLADE AVE,1820 BELLE GLADE AVE,"Saint Louis MO,",38.654847,-90.236426
3117,OSAGE ST,3117 OSAGE ST,"Saint Louis MO,",38.583828,-90.237412
3117,OSAGE ST,3117 OSAGE ST,"Saint Louis MO,",38.583828,-90.237412
3117,OSAGE ST,3117 OSAGE ST,"Saint Louis MO,",38.583828,-90.237412
915,N TAYLOR AVE,915 N TAYLOR AVE,"Saint Louis MO,",38.651954,-90.252343
5529,LABADIE AVE,5529 LABADIE AVE,"Saint Louis MO,",38.661126,-90.230737
4915,PAGE BLVD,4915 PAGE BLVD,"Saint Louis MO,",38.659731,-90.259619
3112,IVANHOE AVE,3112 IVANHOE AVE,"Saint Louis MO,",38.608047,-90.303162
2144,E FAIR AVE,2144 E FAIR AVE,"Saint Louis MO,",38.676207,-90.219639
4244,MIAMI ST,4244 MIAMI ST,"Saint Louis MO,",38.593665,-90.261234
1015,N 7TH ST,1015 N 7TH ST,"Saint Louis MO,",38.631999,-90.19003
30,PLAZA SQ,30 PLAZA SQ,"Saint Louis MO,",38.629863,-90.204077
1459,CHESTNUT ST,1459 CHESTNUT ST,"Saint Louis MO,",38.62923,-90.202613
1459,CHESTNUT ST,1459 CHESTNUT ST,"Saint Louis MO,",38.62923,-90.202613
3812,S SPRING AVE,3812 S SPRING AVE,"Saint Louis MO,",38.588157,-90.24839
4725,N 20TH ST,4725 N 20TH ST,"Saint Louis MO,",38.671669,-90.209692
4725,N 20TH ST,4725 N 20TH ST,"Saint Louis MO,",38.671669,-90.209692
5038,ALCOTT AVE,5038 ALCOTT AVE,"Saint Louis MO,",38.693438,-90.249663
2926,CALIFORNIA AVE,2926 CALIFORNIA AVE,"Saint Louis MO,",38.601707,-90.228248
9104,JORDAN ST,9104 JORDAN ST,"Saint Louis MO,",38.70485,-90.274613
800,S 4TH ST,800 S 4TH ST,"Saint Louis MO,",38.618234,-90.192018
800,S 4TH ST,800 S 4TH ST,"Saint Louis MO,",38.618234,-90.192018
800,S 4TH ST,800 S 4TH ST,"Saint Louis MO,",38.618234,-90.192018
4951,ASHBY AVE,4951 ASHBY AVE,"Saint Louis MO,",38.689376,-90.237211
9005,NEWBY ST,9005 NEWBY ST,"Saint Louis MO,",38.721837,-90.235001
1010,HOWARD ST,1010 HOWARD ST,"Saint Louis MO,",38.642732,-90.190102
4623,OREGON AVE,4623 OREGON AVE,"Saint Louis MO,",38.571908,-90.235836
5900,LILLIAN AVE,5900 LILLIAN AVE,"Saint Louis MO,",38.699602,-90.259339
5618,S GRAND BLVD,5618 S GRAND BLVD,"Saint Louis MO,",38.627816,-90.23616
0,E GRAND AVE / I 70 W,0 E GRAND AVE / I 70 W,"Saint Louis MO,",38.6759786,-90.1968312
3659,HICKORY ST,3659 HICKORY ST,"Saint Louis MO,",38.624609,-90.239435
5516,MINERVA AVE,5516 MINERVA AVE,"Saint Louis MO,",38.664653,-90.275852
4040,SULLIVAN AVE,4040 SULLIVAN AVE,"Saint Louis MO,",38.662034,-90.227862
1395,HAMILTON AVE,1395 HAMILTON AVE,"Saint Louis MO,",38.670917,-90.284414
3734,ROSWELL AVE,3734 ROSWELL AVE,"Saint Louis MO,",38.558056,-90.26788
1500,LEWIS ST,1500 LEWIS ST,"Saint Louis MO,",38.639866,-90.181995
5629,SAINT LOUIS AVE,5629 SAINT LOUIS AVE,"Saint Louis MO,",38.678506,-90.270221
3142,ARSENAL ST,3142 ARSENAL ST,"Saint Louis MO,",38.601633,-90.234651
2310,S JEFFERSON AVE,2310 S JEFFERSON AVE,"Saint Louis MO,",38.607416,-90.222395
1422,VERONICA AVE,1422 VERONICA AVE,"Saint Louis MO,",38.717929,-90.239511
1422,VERONICA AVE,1422 VERONICA AVE,"Saint Louis MO,",38.717929,-90.239511
2300,ANGELICA ST,2300 ANGELICA ST,"Saint Louis MO,",38.66325,-90.209663
5014,IDAHO AVE,5014 IDAHO AVE,"Saint Louis MO,",38.570499,-90.246523
5900,LILLIAN AVE,5900 LILLIAN AVE,"Saint Louis MO,",38.699602,-90.259339
5618,S GRAND BLVD,5618 S GRAND BLVD,"Saint Louis MO,",38.627816,-90.23616
0,E GRAND AVE / I 70 W,0 E GRAND AVE / I 70 W,"Saint Louis MO,",38.6759786,-90.1968312
3659,HICKORY ST,3659 HICKORY ST,"Saint Louis MO,",38.624609,-90.239435
5516,MINERVA AVE,5516 MINERVA AVE,"Saint Louis MO,",38.664653,-90.275852
4040,SULLIVAN AVE,4040 SULLIVAN AVE,"Saint Louis MO,",38.662034,-90.227862
1395,HAMILTON AVE,1395 HAMILTON AVE,"Saint Louis MO,",38.670917,-90.284414
3734,ROSWELL AVE,3734 ROSWELL AVE,"Saint Louis MO,",38.558056,-90.26788
1500,LEWIS ST,1500 LEWIS ST,"Saint Louis MO,",38.639866,-90.181995
5629,SAINT LOUIS AVE,5629 SAINT LOUIS AVE,"Saint Louis MO,",38.678506,-90.270221
3142,ARSENAL ST,3142 ARSENAL ST,"Saint Louis MO,",38.601633,-90.234651
2310,S JEFFERSON AVE,2310 S JEFFERSON AVE,"Saint Louis MO,",38.607416,-90.222395
1422,VERONICA AVE,1422 VERONICA AVE,"Saint Louis MO,",38.717929,-90.239511
1422,VERONICA AVE,1422 VERONICA AVE,"Saint Louis MO,",38.717929,-90.239511
2300,ANGELICA ST,2300 ANGELICA ST,"Saint Louis MO,",38.66325,-90.209663
5014,IDAHO AVE,5014 IDAHO AVE,"Saint Louis MO,",38.570499,-90.246523
1452,CASTLE,1452 CASTLE,"Saint Louis MO,",38.451903,-90.423452
8517,BROADWAY,8517 BROADWAY,"Saint Louis MO,",38.543108,-90.262614
4246,WARNE AVE,4246 WARNE AVE,"Saint Louis MO,",38.671095,-90.219879
2053,E DE SOTO AVE,2053 E DE SOTO AVE,"Saint Louis MO,",38.673409,-90.213379
1123,S 14TH ST,1123 S 14TH ST,"Saint Louis MO,",38.617868,-90.20522
1916,SIDNEY ST,1916 SIDNEY ST,"Saint Louis MO,",38.60311,-90.216102
906,RIVERVIEW BLVD,906 RIVERVIEW BLVD,"Saint Louis MO,",38.725117,-90.23123
1384,SEMPLE AVE,1384 SEMPLE AVE,"Saint Louis MO,",38.664736,-90.273604
