Number,Address,Address,City,latitude,longitude
4931,PLOVER AVE,4931 PLOVER AVE,"Saint Louis Mo,",38.695771,-90.255807
4672,S SPRING AVE,4672 S SPRING AVE,"Saint Louis Mo,",38.578016,-90.253857
3311,MINNESOTA AVE,3311 MINNESOTA AVE,"Saint Louis Mo,",38.595889,-90.234397
8921,ANNETTA ST,8921 ANNETTA ST,"Saint Louis Mo,",38.7197551,-90.2376821
8921,ANNETTA ST,8921 ANNETTA ST,"Saint Louis Mo,",38.7197551,-90.2376821
4317,SWAN AVE,4317 SWAN AVE,"Saint Louis Mo,",38.626095,-90.257241
5020,SHREVE AVE,5020 SHREVE AVE,"Saint Louis Mo,",38.68344,-90.238445
5590,W FLORISSANT AVE,5590 W FLORISSANT AVE,"Saint Louis Mo,",38.700554,-90.244112
5590,W FLORISSANT AVE,5590 W FLORISSANT AVE,"Saint Louis Mo,",38.700554,-90.244112
2810,DAYTON ST,2810 DAYTON ST,"Saint Louis Mo,",38.642005,-90.216166
2018,FARRAR ST,2018 FARRAR ST,"Saint Louis Mo,",38.661041,-90.203413
5007,THRUSH AVE,5007 THRUSH AVE,"Saint Louis Mo,",38.696322,-90.252664
1535,S 8TH ST,1535 S 8TH ST,"Saint Louis Mo,",38.611473,-90.200435
1365,GRANVILLE PL,1365 GRANVILLE PL,"Saint Louis Mo,",38.665728,-90.275592
4221,20TH,4221 20TH,"Saint Louis Mo,",38.666195,-90.206022
4287,HOLLY AVE,4287 HOLLY AVE,"Saint Louis Mo,",38.675205,-90.229586
6023,EITMAN AVE,6023 EITMAN AVE,"Saint Louis Mo,",38.613486,-90.289867
444,EICHELBERGER ST,444 EICHELBERGER ST,"Saint Louis Mo,",38.566716,-90.244617
3101,N GRAND BLVD,3101 N GRAND BLVD,"Saint Louis Mo,",38.65846,-90.218759
8734,GOODFELLOW BLVD,8734 GOODFELLOW BLVD,"Saint Louis Mo,",38.718897,-90.25003
5055,COTE BRILLIANTE AVE,5055 COTE BRILLIANTE AVE,"Saint Louis Mo,",38.665808,-90.260839
3719,N 21ST ST,3719 N 21ST ST,"Saint Louis Mo,",38.659976,-90.204082
4558,ADELAIDE AVE,4558 ADELAIDE AVE,"Saint Louis Mo,",38.674076,-90.221365
4973,MAFFITT PL,4973 MAFFITT PL,"Saint Louis Mo,",38.669426,-90.255642
4973,MAFFITT PL,4973 MAFFITT PL,"Saint Louis Mo,",38.669426,-90.255642
1936,N 14TH ST,1936 N 14TH ST,"Saint Louis Mo,",38.644641,-90.194247
1936,N 14TH ST,1936 N 14TH ST,"Saint Louis Mo,",38.644641,-90.194247
1900,COLEMAN AVE,1900 COLEMAN AVE,"Saint Louis Mo,",38.609317,-90.331002
5363,COTE BRILLIANTE AVE,5363 COTE BRILLIANTE AVE,"Saint Louis Mo,",38.669351,-90.267716
5508,MARTIN LUTHER KING,5508 MARTIN LUTHER KING,"Saint Louis Mo,",38.6708371,-90.2100022
