Number,Street,Address,City,Latitude,Longitude
5190,KENSINGTON AVE,5190 KENSINGTON AVE,"Saint Louis MO,",38.654475,-90.269869
3956,S GRAND BLVD,3956 S GRAND BLVD,"Saint Louis MO,",38.585074,-90.244841
4452,ELMBANK AVE,4452 ELMBANK AVE,"Saint Louis MO,",38.667468,-90.24032
5550,PARTRIDGE AVE,5550 PARTRIDGE AVE,"Saint Louis MO,",38.705019,-90.249333
5934,SHERRY AVE,5934 SHERRY AVE,"Saint Louis MO,",38.700909,-90.257751
6301,LAURA AVE,6301 LAURA AVE,"Saint Louis MO,",38.70312,-90.264473
3625,N GARRISON AVE,3625 N GARRISON AVE,"Saint Louis MO,",38.659914,-90.215136
9214,RIVERVIEW DR,9214 RIVERVIEW DR,"Saint Louis MO,",38.729278,-90.220677
4049,GILES AVE,4049 GILES AVE,"Saint Louis MO,",38.584244,-90.248151
5072,ARLINGTON AVE,5072 ARLINGTON AVE,"Saint Louis MO,",38.692023,-90.248258
4055,S GRAND BLVD,4055 S GRAND BLVD,"Saint Louis MO,",38.583185,-90.244722
2849,OSCEOLA ST,2849 OSCEOLA ST,"Saint Louis MO,",38.576257,-90.235539
2849,OSCEOLA ST,2849 OSCEOLA ST,"Saint Louis MO,",38.576257,-90.235539
5909,W FLORISSANT AVE,5909 W FLORISSANT AVE,"Saint Louis MO,",38.707112,-90.249604
4031,N TAYLOR AVE,4031 N TAYLOR AVE,"Saint Louis MO,",38.674144,-90.238372
4225,OBEAR AVE,4225 OBEAR AVE,"Saint Louis MO,",38.667607,-90.213754
906,BARTON ST,906 BARTON ST,"Saint Louis MO,",38.602963,-90.208068
906,BARTON ST,906 BARTON ST,"Saint Louis MO,",38.602963,-90.208068
3221,NATURAL BRIDGE AVE,3221 NATURAL BRIDGE AVE,"Saint Louis MO,",38.676299,-90.25172
200,WASHINGTON AVE,200 WASHINGTON AVE,"Saint Louis MO,",38.640938,-90.235103
3725,TENNESSEE AVE,3725 TENNESSEE AVE,"Saint Louis MO,",38.589105,-90.24162
3725,TENNESSEE AVE,3725 TENNESSEE AVE,"Saint Louis MO,",38.589105,-90.24162
4335,WARNE AVE,4335 WARNE AVE,"Saint Louis MO,",38.672244,-90.219235
4468,MARGARETTA AVE,4468 MARGARETTA AVE,"Saint Louis MO,",38.680619,-90.254507
1034,TILLIE,1034 TILLIE,"Saint Louis MO,",38.711608,-90.234363
4622,TENNESSEE AVE,4622 TENNESSEE AVE,"Saint Louis MO,",38.575607,-90.246737
8750,RIVERVIEW BLVD,8750 RIVERVIEW BLVD,"Saint Louis MO,",38.717144,-90.24112
8929,RIVERVIEW DR,8929 RIVERVIEW DR,"Saint Louis MO,",38.727099,-90.22666
2276,S JEFFERSON AVE,2276 S JEFFERSON AVE,"Saint Louis MO,",38.608088,-90.22226
4339,WARNE AVE,4339 WARNE AVE,"Saint Louis MO,",38.672306,-90.219184
4931,ARLINGTON AVE,4931 ARLINGTON AVE,"Saint Louis MO,",38.690921,-90.25064
1246,LEWIS ST,1246 LEWIS ST,"Saint Louis MO,",38.636776,-90.181582
732,CARR ST,732 CARR ST,"Saint Louis MO,",38.635194,-90.190091
732,CARR ST,732 CARR ST,"Saint Louis MO,",38.635194,-90.190091
2503,OHIO AVE,2503 OHIO AVE,"Saint Louis MO,",38.606737,-90.225086
4815,ANDERSON AVE,4815 ANDERSON AVE,"Saint Louis MO,",38.680965,-90.241307
7001,WEIL AVE,7001 WEIL AVE,"Saint Louis MO,",38.586495,-90.315409
3725,DARBY ST,3725 DARBY ST,"Saint Louis MO,",38.689338,-90.274039
2148,FARRAR ST,2148 FARRAR ST,"Saint Louis MO,",38.660253,-90.205838
4400,CHIPPEWA ST,4400 CHIPPEWA ST,"Saint Louis MO,",38.590663,-90.267011
5604,GRAVOIS AVE,5604 GRAVOIS AVE,"Saint Louis MO,",38.577733,-90.272194
6130,VERMONT AVE,6130 VERMONT AVE,"Saint Louis MO,",38.561211,-90.250556
2715,CHEROKEE ST,2715 CHEROKEE ST,"Saint Louis MO,",38.593701,-90.228282
2715,CHEROKEE ST,2715 CHEROKEE ST,"Saint Louis MO,",38.593701,-90.228282
2715,CHEROKEE ST,2715 CHEROKEE ST,"Saint Louis MO,",38.593701,-90.228282
4330,COLLEGE AVE,4330 COLLEGE AVE,"Saint Louis MO,",38.671653,-90.218037
5025,COTE BRILLIANTE AV,5025 COTE BRILLIANTE AV,"Saint Louis MO,",38.6657,-90.260156
3462,TENNESSEE AVE,3462 TENNESSEE AVE,"Saint Louis MO,",38.593916,-90.240434
3462,TENNESSEE AVE,3462 TENNESSEE AVE,"Saint Louis MO,",38.593916,-90.240434
5528,PERSHING AVE,5528 PERSHING AVE,"Saint Louis MO,",38.648036,-90.279862
4530,ALCOTT AVE,4530 ALCOTT AVE,"Saint Louis MO,",38.690786,-90.254473
2801,SAMUEL SHEPARD DR,2801 SAMUEL SHEPARD DR,"Saint Louis MO,",38.636931,-90.217477
5457,PAGE BLVD,5457 PAGE BLVD,"Saint Louis MO,",38.662878,-90.275564
2739,SEMPLE AVE,2739 SEMPLE AVE,"Saint Louis MO,",38.673836,-90.267843
5123,GOODFELLOW BLVD,5123 GOODFELLOW BLVD,"Saint Louis MO,",38.703243,-90.262264
2036,E JOHN AVE,2036 E JOHN AVE,"Saint Louis MO,",38.671538,-90.210358
3943,ASHLAND AVE,3943 ASHLAND AVE,"Saint Louis MO,",38.662134,-90.225175
10,N 7TH ST,10 N 7TH ST,"Saint Louis MO,",38.626157,-90.192004
4210,NEOSHO ST,4210 NEOSHO ST,"Saint Louis MO,",38.58392,-90.264331
4451,LABADIE AVE,4451 LABADIE AVE,"Saint Louis MO,",38.665807,-90.241232
1372,BURD AVE,1372 BURD AVE,"Saint Louis MO,",38.6662,-90.276205
2104,E ALICE AVE,2104 E ALICE AVE,"Saint Louis MO,",38.675086,-90.217622
