Number,Street,Address,City,latitude ,longitude
4533,BLAIR AVE,4533 BLAIR AVE,"Saint Louis MO,",38.670856,-90.206148
4533,BLAIR AVE,4533 BLAIR AVE,"Saint Louis MO,",38.670856,-90.206148
2649,HICKORY ST,2649 HICKORY ST,"Saint Louis MO,",38.62091,-90.220294
881,RIVERTRAIL CT,881 RIVERTRAIL CT,"Saint Louis MO,",38.728539,-90.225013
5655,KINGSBURY AVE,5655 KINGSBURY AVE,"Saint Louis MO,",38.652006,-90.293515
1263,N EUCLID AVE,1263 N EUCLID AVE,"Saint Louis MO,",38.658851,-90.259363
4916,DAVISON AVE,4916 DAVISON AVE,"Saint Louis MO,",38.692402,-90.253503
5867,ELMBANK AVE,5867 ELMBANK AVE,"Saint Louis MO,",38.683861,-90.274603
4677,POPE AVE,4677 POPE AVE,"Saint Louis MO,",38.680654,-90.225468
4444,FOREST PARK AVE,4444 FOREST PARK AVE,"Saint Louis MO,",38.637912,-90.257319
3038,ROLLA PL,3038 ROLLA PL,"Saint Louis MO,",38.663243,-90.232223
1509,PRESERVATION PL,1509 PRESERVATION PL,"Saint Louis MO,",38.640389,-90.19819
3210,MOUNT PLEASANT ST,3210 MOUNT PLEASANT ST,"Saint Louis MO,",38.573208,-90.241781
3210,MOUNT PLEASANT ST,3210 MOUNT PLEASANT ST,"Saint Louis MO,",38.573208,-90.241781
1510,MONTGOMERY ST,1510 MONTGOMERY ST,"Saint Louis MO,",38.649651,-90.199701
4915,ASHBY AVE,4915 ASHBY AVE,"Saint Louis MO,",38.688769,-90.236688
5380,QUEENS AVE,5380 QUEENS AVE,"Saint Louis MO,",38.690637,-90.24024
3001,N WHARF ST,3001 N WHARF ST,"Saint Louis MO,",38.656338,-90.186596
1405,ROWAN AVE,1405 ROWAN AVE,"Saint Louis MO,",38.670757,-90.283171
5403,UNION BLVD,5403 UNION BLVD,"Saint Louis MO,",38.693547,-90.241912
5403,UNION BLVD,5403 UNION BLVD,"Saint Louis MO,",38.693547,-90.241912
1701,UNION BLVD,1701 UNION BLVD,"Saint Louis MO,",38.667767,-90.266413
7875,GOYA PL,7875 GOYA PL,"Saint Louis MO,",38.550526,-90.268595
2728,ACCOMAC ST,2728 ACCOMAC ST,"Saint Louis MO,",38.609629,-90.225117
5037,ARLINGTON AVE,5037 ARLINGTON AVE,"Saint Louis MO,",38.69197,-90.248725
2505,HODIAMONT AVE,2505 HODIAMONT AVE,"Saint Louis MO,",38.678199,-90.283194
2908,UNIVERSITY ST,2908 UNIVERSITY ST,"Saint Louis MO,",38.654329,-90.217167
3519,PENNSYLVANIA AVE,3519 PENNSYLVANIA AVE,"Saint Louis MO,",38.592082,-90.233995
4946,ALDINE AVE,4946 ALDINE AVE,"Saint Louis MO,",38.660663,-90.252158
3515,MINNESOTA AVE,3515 MINNESOTA AVE,"Saint Louis MO,",38.592296,-90.23511
1205,N 7TH ST,1205 N 7TH ST,"Saint Louis MO,",38.636273,-90.188591
3170,S COMPTON AVE,3170 S COMPTON AVE,"Saint Louis MO,",38.599268,-90.235815
3630,THOLOZAN AVE,3630 THOLOZAN AVE,"Saint Louis MO,",38.591003,-90.244838
