Number,Street,Number Street,City,latitude,longitude
1119,N TUCKER BLVD,1119 N TUCKER BLVD,"Saint Louis MO,",38.631177,-90.196915
700,N 15TH ST,700 N 15TH ST,"Saint Louis MO,",38.633118,-90.199971
5034,CATES AVE,5034 CATES AVE,"Saint Louis MO,",38.65514,-90.264226
7860,TENNESSEE PL,7860 TENNESSEE PL,"Saint Louis MO,",38.551,-90.268813
3502,OSAGE ST,3502 OSAGE ST,"Saint Louis MO,",38.584488,-90.243952
3502,OSAGE ST,3502 OSAGE ST,"Saint Louis MO,",38.584488,-90.243952
2111,SULPHUR AVE,2111 SULPHUR AVE,"Saint Louis MO,",38.617509,-90.288155
1010,S TUCKER BLVD,1010 S TUCKER BLVD,"Saint Louis MO,",38.611672,-90.206512
5640,ACME AVE,5640 ACME AVE,"Saint Louis MO,",38.710928,-90.25769
4420,PENNSYLVANIA AVE,4420 PENNSYLVANIA AVE,"Saint Louis MO,",38.575918,-90.237113
4572,EVANS AVE,4572 EVANS AVE,"Saint Louis MO,",38.657598,-90.251247
7140,N BROADWAY,7140 N BROADWAY,"Saint Louis MO,",38.695221,-90.225583
4460,ITASKA ST,4460 ITASKA ST,"Saint Louis MO,",38.58418,-90.270973
4735,CUPPLES PL,4735 CUPPLES PL,"Saint Louis MO,",38.66563,-90.250809
5820,CABANNE AVE,5820 CABANNE AVE,"Saint Louis MO,",38.658869,-90.286903
4100,HULL PL,4100 HULL PL,"Saint Louis MO,",38.669192,-90.222522
6200,I 55 NORTHBOUND,6200 I 55 NORTHBOUND,"Saint Louis MO,",38.6416581,-90.2629492
4548,N KINGSHIGHWAY BLVD,4548 N KINGSHIGHWAY BLVD,"Saint Louis MO,",38.686706,-90.244482
5811,SELBER CT,5811 SELBER CT,"Saint Louis MO,",38.683445,-90.272621
4420,CHIPPEWA ST,4420 CHIPPEWA ST,"Saint Louis MO,",38.590692,-90.267267
4335,MINNESOTA AVE,4335 MINNESOTA AVE,"Saint Louis MO,",38.577677,-90.238141
4055,MCREE AVE,4055 MCREE AVE,"Saint Louis MO,",38.619052,-90.248938
3144,N SARAH ST,3144 N SARAH ST,"Saint Louis MO,",38.662779,-90.229609
4500,W FLORISSANT AVE,4500 W FLORISSANT AVE,"Saint Louis MO,",38.68248,-90.226668
4671,ELMBANK AVE,4671 ELMBANK AVE,"Saint Louis MO,",38.67003,-90.245351
0,HAMPTON AVE / I 44 WESTBOUND,0 HAMPTON AVE / I 44 WESTBOUND,"Saint Louis MO,",38.6270025,-90.1994042
0,HAMPTON AVE / I 44 WESTBOUND,0 HAMPTON AVE / I 44 WESTBOUND,"Saint Louis MO,",38.6270025,-90.1994042
4301,GOODFELLOW BLVD,4301 GOODFELLOW BLVD,"Saint Louis MO,",38.691277,-90.269183
4467,ITASKA ST,4467 ITASKA ST,"Saint Louis MO,",38.584373,-90.271069
4467,ITASKA ST,4467 ITASKA ST,"Saint Louis MO,",38.584373,-90.271069
4232,S 37TH ST,4232 S 37TH ST,"Saint Louis MO,",38.581214,-90.246448
1206,PARK AVE,1206 PARK AVE,"Saint Louis MO,",38.6148,-90.204435
1206,PARK AVE,1206 PARK AVE,"Saint Louis MO,",38.6148,-90.204435
5846,ELMBANK,5846 ELMBANK,"Saint Louis MO,",38.683612,-90.274483
844,CANAAN,844 CANAAN,"Saint Louis MO,",38.720782,-90.235082
5323,NORTHLAND,5323 NORTHLAND,"Saint Louis MO,",38.671777,-90.264534
3501,N NEWSTEAD AVE,3501 N NEWSTEAD AVE,"Saint Louis MO,",38.667789,-90.238045
5082,QUEENS AVE,5082 QUEENS AVE,"Saint Louis MO,",38.687864,-90.244403
5024,CATES AVE,5024 CATES AVE,"Saint Louis MO,",38.655102,-90.263889
5024,CATES AVE,5024 CATES AVE,"Saint Louis MO,",38.655102,-90.263889
765,WALTON AVE,765 WALTON AVE,"Saint Louis MO,",38.652916,-90.257365
5225,JAMIESON AVE,5225 JAMIESON AVE,"Saint Louis MO,",38.584993,-90.307414
3910,NATURAL BRIDGE AVE,3910 NATURAL BRIDGE AVE,"Saint Louis MO,",38.676299,-90.25172
5747,MAPLE AVE,5747 MAPLE AVE,"Saint Louis MO,",38.660877,-90.284709
5577,COTE BRILLIANTE AVE,5577 COTE BRILLIANTE AVE,"Saint Louis MO,",38.671637,-90.273942
